TOT_POP,COUNTY_NAME_n,Active General Surgeons per 100000 Population 2018 (AAMC),ICU Beds_x,STATE_NAME_n,anycondition_number,Total Hospitals (2019)
40589.0,1403.0,8.7,4.0,38.0,15596.0,0.630684248
25629.0,603.0,7.4,0.0,23.0,8138.0,0.58007114
28715.0,656.0,8.3,0.0,17.0,11055.0,0.674754644
26575.0,1708.0,7.3,0.0,46.0,8114.0,0.299518003
31363.0,29.0,7.6,7.0,0.0,12243.0,0.648065998
96807.0,214.0,7.2,0.0,4.0,29364.0,0.878572022
20544.0,1432.0,7.0,0.0,40.0,7843.0,0.278816009
44413.0,44.0,8.3,13.0,35.0,16500.0,0.737085825
56811.0,36.0,10.5,5.0,48.0,20549.0,1.761745279
51859.0,1694.0,7.3,6.0,46.0,17387.0,0.584485573
76482.0,624.0,8.1,25.0,42.0,27933.0,1.299175334
1445.0,1665.0,5.8,0.0,44.0,496.0,0.024684406
3424.0,677.0,9.8,0.0,26.0,1103.0,0.180498068
18998.0,401.0,7.0,0.0,10.0,6468.0,0.261867631
40571.0,429.0,7.0,20.0,10.0,14902.0,0.559228954
28523.0,563.0,6.5,0.0,14.0,9991.0,0.562627711
37349.0,1126.0,7.3,7.0,46.0,13349.0,0.42094818
10340.0,399.0,7.0,0.0,10.0,3626.0,0.142526124
2995.0,382.0,7.0,0.0,10.0,1164.0,0.041282954
34117.0,138.0,8.1,7.0,42.0,12763.0,0.579534594
2204.0,1539.0,6.2,0.0,43.0,972.0,0.040160903
4853.0,1059.0,9.8,0.0,26.0,1583.0,0.255828599
442.0,1579.0,6.2,0.0,43.0,176.0,0.008054047
18883.0,1436.0,9.2,6.0,41.0,5198.0,1.220004874
8320.0,837.0,7.9,0.0,22.0,3476.0,0.119856962
20015.0,9.0,6.8,0.0,16.0,7653.0,0.955548763
15902.0,35.0,9.1,0.0,18.0,6610.0,0.539169069
16390.0,666.0,6.2,0.0,36.0,6420.0,0.519581271
102985.0,1015.0,7.0,0.0,25.0,28000.0,2.050806894
36925.0,954.0,7.1,24.0,24.0,14890.0,1.224020854
51909.0,15.0,7.6,7.0,0.0,20571.0,1.072616074
